# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
150000 150
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0.00329254 3.89474e-05
40 0.921667 0.0691952 0.000900526
41 0.945 0.530585 0.00784579
42 0.968333 2.05993 0.0361579
43 0.991667 5.01483 0.108444
44 1.015 8.81642 0.241579
45 1.03833 12.346 0.436684
46 1.06167 14.8027 0.681242
47 1.085 15.9069 0.955721
48 1.10833 15.9632 1.24315
49 1.13167 15.2382 1.52919
50 1.155 14.1112 1.80512
51 1.17833 12.9044 2.06774
52 1.20167 11.6836 2.31503
53 1.225 10.5588 2.54728
54 1.24833 9.54838 2.76538
55 1.27167 8.63908 2.97015
56 1.295 7.87768 3.16379
57 1.31833 7.23162 3.34802
58 1.34167 6.65928 3.52372
59 1.365 6.19891 3.69301
60 1.38833 5.81547 3.85731
61 1.41167 5.48886 4.01763
62 1.435 5.2111 4.17492
63 1.45833 4.97722 4.33007
64 1.48167 4.80135 4.48457
65 1.505 4.66071 4.6393
66 1.52833 4.5374 4.79465
67 1.55167 4.45172 4.95175
68 1.575 4.37631 5.11087
69 1.59833 4.34847 5.2737
70 1.62167 4.33743 5.44089
71 1.645 4.34378 5.61318
72 1.66833 4.37821 5.79179
73 1.69167 4.44998 5.97845
74 1.715 4.52051 6.17333
75 1.73833 4.62986 6.37839
76 1.76167 4.73949 6.59398
77 1.785 4.87486 6.82165
78 1.80833 5.01648 7.06209
79 1.83167 5.17123 7.31639
80 1.855 5.3151 7.58446
81 1.87833 5.50146 7.86896
82 1.90167 5.62705 8.16722
83 1.925 5.79154 8.48179
84 1.94833 5.92235 8.8113
85 1.97167 6.05887 9.15653
86 1.995 6.18489 9.51734
87 2.01833 6.29202 9.89303
88 2.04167 6.38303 10.283
89 2.065 6.4288 10.6848
90 2.08833 6.46495 11.0981
91 2.11167 6.48131 11.5217
92 2.135 6.43201 11.9514
93 2.15833 6.37439 12.3867
94 2.18167 6.29429 12.8258
95 2.205 6.18818 13.2668
96 2.22833 6.06681 13.7083
97 2.25167 5.94124 14.1498
98 2.275 5.79119 14.5891
99 2.29833 5.65874 15.0273
100 2.32167 5.52991 15.4641
101 2.345 5.38998 15.8986
102 2.36833 5.27923 16.3326
103 2.39167 5.17437 16.7664
104 2.415 5.06893 17.1997
105 2.43833 4.98325 17.634
106 2.46167 4.91993 18.071
107 2.485 4.8449 18.5095
108 2.50833 4.79809 18.952
109 2.53167 4.75057 19.3983
110 2.555 4.72511 19.8504
111 2.57833 4.69952 20.3083
112 2.60167 4.69396 20.774
113 2.625 4.6862 21.2473
114 2.64833 4.68841 21.7292
115 2.67167 4.70685 22.2217
116 2.695 4.72155 22.7243
117 2.71833 4.74574 23.2383
118 2.74167 4.77613 23.7645
119 2.765 4.80418 24.3028
120 2.78833 4.85494 24.8561
121 2.81167 4.8791 25.4215
122 2.835 4.91168 26.0001
123 2.85833 4.93845 26.5914
124 2.88167 4.96633 27.1959
125 2.905 4.99736 27.814
126 2.92833 5.01463 28.4443
127 2.95167 5.02738 29.0863
128 2.975 5.02753 29.7385
129 2.99833 5.03204 30.4016
130 3.02167 5.02336 31.0738
131 3.045 5.01569 31.7555
132 3.06833 4.99698 32.445
133 3.09167 4.98585 33.1435
134 3.115 4.96627 33.8498
135 3.13833 4.92352 34.5606
136 3.16167 4.89033 35.2771
137 3.185 4.85623 35.9992
138 3.20833 4.80907 36.7247
139 3.23167 4.76425 37.454
140 3.255 4.73116 38.1887
141 3.27833 4.69138 38.9277
142 3.30167 4.65091 39.6708
143 3.325 4.60361 40.4168
144 3.34833 4.55946 41.1661
145 3.37167 4.52131 41.9194
146 3.395 4.48945 42.6779
147 3.41833 4.45103 43.4402
148 3.44167 4.41369 44.2065
149 3.465 4.38254 44.9777
150 3.48833 4.36263 45.7558
350000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0.00298108 3.52632e-05
40 0.921667 0.0678003 0.000879474
41 0.945 0.659934 0.00951789
42 0.968333 2.95543 0.0501379
43 0.991667 7.92674 0.164398
44 1.015 14.7499 0.387132
45 1.03833 21.2048 0.722232
46 1.06167 25.5809 1.14486
47 1.085 27.3917 1.61751
48 1.10833 27.1349 2.10609
49 1.13167 25.6078 2.58679
50 1.155 23.2427 3.04127
51 1.17833 20.8428 3.46545
52 1.20167 18.4892 3.85679
53 1.225 16.3619 4.21668
54 1.24833 14.532 4.54861
55 1.27167 12.9182 4.85481
56 1.295 11.6123 5.14025
57 1.31833 10.5087 5.40796
58 1.34167 9.60956 5.6615
59 1.365 8.82556 5.90253
60 1.38833 8.18436 6.13375
61 1.41167 7.66717 6.35771
62 1.435 7.25919 6.57681
63 1.45833 6.91947 6.79251
64 1.48167 6.64858 7.00644
65 1.505 6.44998 7.22058
66 1.52833 6.30812 7.43655
67 1.55167 6.20399 7.65549
68 1.575 6.17102 7.87986
69 1.59833 6.17639 8.11114
70 1.62167 6.21095 8.35054
71 1.645 6.29257 8.60013
72 1.66833 6.44452 8.86304
73 1.69167 6.63841 9.14149
74 1.715 6.85265 9.43691
75 1.73833 7.1194 9.75224
76 1.76167 7.42607 10.09
77 1.785 7.73393 10.4512
78 1.80833 8.08924 10.8389
79 1.83167 8.44173 11.2541
80 1.855 8.81356 11.6986
81 1.87833 9.15191 12.1719
82 1.90167 9.47487 12.6741
83 1.925 9.7529 13.2038
84 1.94833 10.0275 13.7617
85 1.97167 10.2459 14.3455
86 1.995 10.4644 14.956
87 2.01833 10.6527 15.592
88 2.04167 10.7839 16.2509
89 2.065 10.8773 16.9308
90 2.08833 10.8992 17.6275
91 2.11167 10.8553 18.337
92 2.135 10.7746 19.0568
93 2.15833 10.609 19.7812
94 2.18167 10.3841 20.5056
95 2.205 10.1576 21.2295
96 2.22833 9.8639 21.9474
97 2.25167 9.57202 22.6587
98 2.275 9.29412 23.3638
99 2.29833 8.97566 24.0587
100 2.32167 8.70845 24.7467
101 2.345 8.44412 25.4273
102 2.36833 8.20684 26.102
103 2.39167 7.9923 26.7721
104 2.415 7.79541 27.4385
105 2.43833 7.6337 28.1037
106 2.46167 7.50234 28.7701
107 2.485 7.39212 29.4391
108 2.50833 7.32853 30.115
109 2.53167 7.26215 30.7972
110 2.555 7.23829 31.4898
